content_density,contrast,edge_density,line_regularity,hw_grade,row_idx
0.0514,30.1,0.1618,1.0,6,378
0.1195,33.5,0.1247,1.0,6,379
0.1498,44.0,0.2073,1.0,8,380
0.5601,72.6,0.199,0.8,10,381
0.2487,49.8,0.3366,1.0,8,382
0.1638,25.3,0.0676,1.0,7,383
0.1826,48.6,0.1508,1.0,8,384
0.4631,28.8,0.1265,1.0,8,385
1.0,1.6,0.0065,1.0,6,386
0.1141,30.9,0.0833,1.0,6,387
0.0971,19.6,0.0108,1.0,4,388
0.1457,25.3,0.1654,1.0,6,389
0.3906,38.3,0.0598,1.0,8,390
0.4385,40.8,0.0631,1.0,8,391
1.0,1.9,0.0274,1.0,6,392
0.3392,77.4,0.0817,1.0,9,393
0.029,14.4,0.0023,0.3,2,394
0.3267,64.0,0.0231,0.9,8,395
0.138,40.3,0.0476,0.8,6,396
0.0686,26.8,0.0249,1.0,4,397
0.1396,46.6,0.0691,1.0,6,398
0.2128,56.2,0.1085,0.8,8,399
0.1463,50.3,0.1459,1.0,8,400
0.2484,53.6,0.0807,1.0,8,401
0.2041,31.3,0.0881,1.0,7,402
0.4472,87.0,0.131,1.0,10,403
0.1125,42.6,0.0018,0.9,6,404
0.1142,43.2,0.1243,1.0,7,405
0.475,47.1,0.0165,0.9,8,406
0.7491,51.8,0.1495,1.0,10,407
0.0749,34.5,0.1614,1.0,6,408
0.6483,58.1,0.1903,1.0,10,409
0.2506,38.7,0.1981,1.0,9,410
0.1326,46.2,0.1442,1.0,7,411
0.3032,45.2,0.078,1.0,8,412
0.0934,35.4,0.107,1.0,6,413
0.086,31.7,0.1046,0.9,6,414
0.2011,49.1,0.0715,1.0,8,415
0.0494,31.6,0.1603,0.7,5,416
0.1863,32.6,0.0599,1.0,7,417
0.9924,17.4,0.0621,1.0,7,418
0.7614,20.8,0.0882,1.0,8,419
0.2978,68.3,0.2309,1.0,10,420
0.0895,38.9,0.0271,0.9,6,421
0.4148,39.1,0.0368,1.0,8,422
0.0293,30.7,0.3627,0.5,6,423
0.1599,45.6,0.0922,1.0,8,424
0.3152,68.8,0.0954,1.0,9,425
0.0279,19.7,0.0242,0.5,2,426
0.0974,26.8,0.0861,1.0,6,427
0.0839,36.4,0.097,1.0,6,428
0.072,33.5,0.161,1.0,6,429
0.3431,66.1,0.1617,0.9,10,430
0.4414,75.4,0.0132,1.0,8,431
0.4607,63.1,0.109,1.0,9,432
0.2158,28.1,0.0887,1.0,7,433
0.0158,24.6,0.0909,0.2,3,434
0.1467,48.8,0.1069,1.0,6,435
0.3768,62.3,0.0622,1.0,9,436
0.182,37.3,0.1128,1.0,8,437
0.1568,31.2,0.1091,1.0,7,438
0.0574,28.1,0.1536,1.0,6,439
0.2425,58.4,0.0321,1.0,7,440
0.3176,65.6,0.0979,1.0,9,441
0.1888,42.2,0.175,1.0,8,442
0.3887,63.8,0.1671,1.0,10,443
0.2239,74.0,0.1772,1.0,8,444
0.3987,57.1,0.1062,1.0,9,445
0.2372,66.1,0.1109,1.0,8,446
0.1463,49.6,0.0571,1.0,6,447
0.2752,55.2,0.0627,1.0,9,448
0.1714,39.5,0.0843,1.0,8,449
0.2098,52.6,0.1641,1.0,8,450
0.3577,64.3,0.1127,1.0,9,451
0.1592,41.2,0.0969,1.0,8,452
0.3159,49.9,0.0723,1.0,8,453
0.0499,32.8,0.2145,0.9,6,454
0.1535,37.1,0.1984,1.0,8,455
0.1573,51.0,0.0645,1.0,8,456
0.4836,48.4,0.0483,1.0,8,457
0.094,40.3,0.0895,1.0,6,458
0.0923,44.0,0.1596,1.0,7,459
0.1657,60.5,0.092,1.0,8,460
0.2908,41.7,0.0268,1.0,8,461
0.4976,64.6,0.2529,1.0,10,462
0.2085,53.2,0.1345,1.0,8,463
0.2159,42.6,0.0981,1.0,8,464
0.238,63.7,0.0262,1.0,7,465
0.1858,61.6,0.0376,1.0,7,466
0.3155,52.5,0.1084,1.0,9,467
0.4975,92.3,0.0654,1.0,9,468
0.2619,34.2,0.1304,1.0,8,469
0.9732,25.2,0.1168,1.0,8,470
0.2619,34.2,0.1304,1.0,8,471
0.3686,73.6,0.0735,1.0,9,472
0.187,36.6,0.1158,1.0,8,473
0.1112,37.2,0.1362,1.0,7,474
0.1768,37.3,0.0354,1.0,6,475
0.0,0.0,0.0,0.0,1,476
0.2051,55.1,0.2174,1.0,9,477
0.308,41.9,0.1769,1.0,9,478
0.4525,80.0,0.0733,1.0,9,479
0.1595,48.1,0.1429,1.0,8,480
0.2482,42.7,0.1084,1.0,8,481
0.6976,29.0,0.1422,1.0,8,482
0.2792,36.4,0.1072,1.0,8,483
0.0674,22.3,0.1992,1.0,6,484
0.1297,42.9,0.0576,1.0,6,485
0.0,0.0,0.0,0.0,1,486
0.0684,52.7,0.098,1.0,6,487
0.2061,33.7,0.0416,1.0,6,488
0.0937,39.9,0.066,1.0,6,489
0.1511,62.6,0.0451,1.0,7,490
0.4772,44.5,0.1368,1.0,9,491
0.0905,32.0,0.0906,1.0,6,492
0.2918,50.8,0.0798,0.9,9,493
0.1983,45.7,0.0788,1.0,8,494
0.2383,54.7,0.1673,1.0,8,495
0.1067,35.7,0.1294,1.0,7,496
0.1172,35.0,0.0742,1.0,6,497
0.0,0.0,0.0,0.0,1,498
0.0835,42.2,0.1145,1.0,6,499
0.174,52.2,0.0677,1.0,8,500
0.1589,44.6,0.0613,0.9,8,501
0.2334,54.0,0.076,1.0,8,502
0.1743,34.5,0.2781,1.0,8,503
0.0911,23.0,0.02,1.0,5,504
0.1201,58.1,0.179,0.9,8,505
0.0413,28.2,0.1323,0.9,6,506
